,FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,Energy_kcal,Carbohydrate_g,Protein_g,Totalfat_g,Saturatedfat_g,Dietaryfibre_g,Cholestrol_mg,Sodium_mg,Energy_kcal%,Carbohydrate_g%,Protein_g%,Totalfat_g%,Saturatedfat_g%,Dietaryfibre_g%,Cholestrol_mg%,Sodium_mg%,RRR',T',T'c,RRR,TOri
63,Apple green raw with peel core and stalk,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (156g),76.88,16.69,0.47,0,0,3.59,0,3.12,3.844,5.563333333,0.626666667,0,0,14.36,0,0.13,3.847614069,1.964545455,0.405562645,7.542358665,0
64,Apple red raw with peel core and stalk,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (185g),104.45,23.68,0.56,0,0,4.07,0,1.85,5.2225,7.893333333,0.746666667,0,0,16.28,0,0.077083333,3.169404764,2.735997475,0.439694251,6.425662395,0
65,Apple unspecified type red raw with skin,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (150g),86.13,18.3,0.45,0.3,0,3.45,0,1.5,4.3065,6.1,0.6,0.46875,0,13.8,0,0.0625,3.342928777,2.310416667,0.4353937,6.591897459,0.004490346
66,Apples raw without skin,FRUIT AND FRUIT PRODUCTS,Fresh fruits,Whole (139g),66.72,17.74,0.38,0.18,0.03,1.81,0,0,3.336,5.913333333,0.506666667,0.28125,0.15,7.24,0,0,1.88415026,2.357992424,0.543817441,4.444444444,0.002694207
67,Apricot canned in artificially sweetened juice,FRUIT AND FRUIT PRODUCTS,Processed fruits (canned pickled juices etc),Cup (247g),58.45,12.35,1.24,0,0,3.21,0,7.41,2.9225,4.116666667,1.653333333,0,0,12.84,0,0.30875,4.796013016,1.544128788,0.393659347,8.970728562,0
68,Apricot canned in artificially sweetened liquid drained,FRUIT AND FRUIT PRODUCTS,Processed fruits (canned pickled juices etc),One half (17g),4.8,0.66,0.14,0,0,0.44,0,0.51,0.24,0.22,0.186666667,0,0,1.76,0,0.02125,3.628456042,0.367083333,0.296034946,14.90271132,0
69,Apricot canned in pear juice,FRUIT AND FRUIT PRODUCTS,Processed fruits (canned pickled juices etc),Cup (247g),113.45,20.25,1.98,0,0,4.45,0,9.88,5.6725,6.75,2.64,0,0,17.8,0,0.411666667,3.982970281,2.385707071,0.35754321,6.719079578,0
70,Apricot canned in pear juice drained,FRUIT AND FRUIT PRODUCTS,Processed fruits (canned pickled juices etc),Cup (220g),103.14,17.16,2.2,0,0,6.82,0,6.6,5.157,5.72,2.933333333,0,0,27.28,0,0.275,7.41104134,1.678333333,0.272589465,11.12420226,0
71,Apricot canned in syrup,FRUIT AND FRUIT PRODUCTS,Processed fruits (canned pickled juices etc),Cup (260g),158.6,33.54,1.82,0,0,4.42,0,5.2,7.93,11.18,2.426666667,0,0,17.68,0,0.216666667,2.5469844,3.935252525,0.440677774,4.936170213,0
72,Apricot canned in syrup drained,FRUIT AND FRUIT PRODUCTS,Processed fruits (canned pickled juices etc),Cup (220g),135.78,27.06,1.98,0,0,6.82,0,4.4,6.789,9.02,2.64,0,0,27.28,0,0.183333333,4.878579038,2.847777778,0.365615326,8.582492709,0
