name,brand name,ram,storage,battery,camera 1,camera 2,screen,resolution w,resolution h,thickness,os,color,price
Lenovo Vibe Z K910,Lenovo,2,16,3000,13,5,5.5,1080,1920,7.9,Android,silver,480 EUR
Lenovo Vibe X S960,Lenovo,2,32,2000,13,5,5,1080,1920,6.9,Android,black_silver,420 EUR
Lenovo K900,Lenovo,2,32,2500,13,2,5.5,1080,1920,6.9,Android,black_gray,360 EUR
LG Q8,LG,4,32,3000,16,5,5.2,1440,2560,8,Android,black_white,600 EUR
LG Q6,LG,4,64,3000,13,5,5.5,1080,2160,8.1,Android,black_white_gold,270 EUR
LG G Pad IV 8.0 FHD,LG,2,32,3000,5,5,8,1200,1920,6.9,Android,black_white,350 EUR
LG X venture,LG,2,32,4100,16,5,5.2,1080,1920,9.3,Android,black,400 EUR
LG X power2,LG,2,16,4500,13,5,5.5,720,1280,8.4,Android,black_gold_blue,0
LG Stylo 3 Plus,LG,2,32,3080,13,5,5.7,1080,1920,7.4,Android,black_white,260 EUR
LG K20 plus,LG,2,32,2700,13,5,5.3,720,1280,7.9,Android,black,160 EUR
LG K10 (2017),LG,2,16,2800,13,5,5.3,720,1280,7.9,Android,black_gold,210 EUR
LG K7 (2017),LG,2,16,2500,8,5,5,480,854,8.1,Android,black_white,100 EUR
LG G Pad III 10.1 FHD,LG,2,32,6000,5,5,10.1,1200,1920,6.7,Android,black,340 EUR
LG U,LG,2,32,3000,13,8,5.2,1080,1920,7.7,Android,black_white_pink,0
LG V20,LG,4,64,3200,16,5,5.7,1440,2560,7.6,Android,silver_pink,560 EUR
LG X5,LG,2,16,2800,13,5,5.5,720,1280,7.2,Android,black_white,160 EUR
LG X power,LG,2,16,4100,13,5,5.3,720,1280,7.9,Android,white_gold,240 EUR
LG Stylo 2,LG,2,16,3000,13,5,5.7,720,1280,7.4,Android,black,150 EUR
LG G5,LG,4,32,2800,16,8,5.3,1440,2560,7.7,Android,silver_gold_pink,450 EUR
LG X cam,LG,2,16,2520,13,8,5.2,1080,1920,6.9,Android,white_silver_gold_pink,320 EUR
LG X screen,LG,2,16,2300,13,8,4.93,720,1280,7.1,Android,black_white_gold_pink,180 EUR
LG Stylus 2,LG,2,16,3000,13,8,5.7,720,1280,7.4,Android,white,190 EUR
LG G Pad II 8.3 LTE,LG,2,16,4800,8,2,8.3,1200,1920,8.8,Android,gold,0
